feature_removed,accuracy,accuracy_drop
macro_UNRATE,0.47651006711409394,0.0022371364653244186
macd,0.47874720357941836,0.0
volatility_20,0.47874720357941836,0.0
atr_14,0.48322147651006714,-0.004474272930648782
momentum_10,0.48322147651006714,-0.004474272930648782
rsi_14,0.4854586129753915,-0.006711409395973145
macro_FFR,0.4899328859060403,-0.011185682326621926
macro_10Y_Treasury,0.49440715883668906,-0.015659955257270708
Volume,0.5123042505592841,-0.03355704697986572
Close,0.5369127516778524,-0.058165548098433995
