feature_removed,accuracy,accuracy_drop
Volume,0.4966442953020134,0.01789709172259507
macro_FFR,0.5011185682326622,0.01342281879194629
atr_14,0.5033557046979866,0.01118568232662187
momentum_10,0.5078299776286354,0.006711409395973145
macro_CPI,0.5100671140939598,0.004474272930648726
Close,0.5100671140939598,0.004474272930648726
macd,0.5212527964205816,-0.006711409395973145
rsi_14,0.5234899328859061,-0.008948545861297563
macro_UNRATE,0.5234899328859061,-0.008948545861297563
volatility_20,0.5234899328859061,-0.008948545861297563
macro_10Y_Treasury,0.5302013422818792,-0.015659955257270708
