feature_removed,accuracy,accuracy_drop
macro_FFR,0.48322147651006714,0.01789709172259507
momentum_10,0.4899328859060403,0.011185682326621926
macro_CPI,0.49440715883668906,0.006711409395973145
macd,0.5055928411633109,-0.004474272930648726
rsi_14,0.5078299776286354,-0.006711409395973145
Close,0.5123042505592841,-0.01118568232662187
macro_UNRATE,0.5123042505592841,-0.01118568232662187
atr_14,0.5145413870246085,-0.01342281879194629
macro_10Y_Treasury,0.5234899328859061,-0.022371364653243853
return_1d,0.5234899328859061,-0.022371364653243853
volatility_20,0.5436241610738255,-0.04250559284116329
