feature_removed,accuracy,accuracy_drop
volatility_20,0.45434298440979953,0.024498886414253906
vol_lag_5,0.45657015590200445,0.02227171492204899
vol_lag_1,0.45879732739420936,0.020044543429844075
macro_FFR,0.4610244988864143,0.01781737193763916
macro_UNRATE,0.46325167037861914,0.015590200445434299
macro_CPI,0.46547884187082406,0.013363028953229383
vol_lag_3,0.46547884187082406,0.013363028953229383
rsi_14,0.46547884187082406,0.013363028953229383
macd,0.46547884187082406,0.013363028953229383
Close,0.46993318485523383,0.008908685968819607
ret_lag_5,0.47216035634743875,0.006681514476614692
ret_lag_1,0.47216035634743875,0.006681514476614692
ret_lag_2,0.47438752783964366,0.004454342984409776
stoch_k,0.47438752783964366,0.004454342984409776
stoch_d,0.47438752783964366,0.004454342984409776
Volume,0.4766146993318486,0.00222717149220486
vol_lag_2,0.47884187082405344,0.0
momentum_10,0.48106904231625836,-0.0022271714922049157
return_1d,0.48106904231625836,-0.0022271714922049157
ret_lag_21,0.48329621380846327,-0.0044543429844098315
atr_14,0.48329621380846327,-0.0044543429844098315
macro_10Y_Treasury,0.48775055679287305,-0.008908685968819607
